mean rating: 1343.33
total number of ratings in train: 6
total number of ratings in test: 2
average ratings per row: 3
rows > break_point1: 0
rows > break_point2: 0
num movs: 2
mean rating: 1343.33
total number of ratings in train: 6
total number of ratings in test: 2
average ratings per row: 1.5
rows > break_point1: 0
rows > break_point2: 0
num users: 4
hostname: johnpc-Lenovo-Z50-70
pid: 17321
num_latent: 16
nprocs: 1
nthrds: 1
nsims: 10000
burnin: 50
grain_size: 1
alpha: 2
0: Sampling iteration 138:	 RMSE: 7.5549	avg RMSE: 6.0628	FU(1762.13)	FM( 14.12)	items/sec: 49152.00	ratings/sec:   0.05M
0: Sampling iteration 139:	 RMSE: 1.7412	avg RMSE: 6.0078	FU(1766.12)	FM( 12.94)	items/sec: 50031.46	ratings/sec:   0.05M
0: Sampling iteration 140:	 RMSE: 7.2305	avg RMSE: 5.9882	FU(1762.85)	FM( 11.43)	items/sec: 47934.90	ratings/sec:   0.05M
0: Sampling iteration 141:	 RMSE: 8.6032	avg RMSE: 6.0151	FU(1759.68)	FM( 12.82)	items/sec: 49248.19	ratings/sec:   0.05M
0: Sampling iteration 142:	 RMSE: 10.1424	avg RMSE: 6.0363	FU(1759.51)	FM( 14.45)	items/sec: 49248.19	ratings/sec:   0.05M
0: Sampling iteration 143:	 RMSE: 9.9455	avg RMSE: 6.0247	FU(1759.39)	FM( 12.25)	items/sec: 48489.06	ratings/sec:   0.05M
0: Sampling iteration 144:	 RMSE: 13.7703	avg RMSE: 6.0555	FU(1760.99)	FM( 11.97)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 145:	 RMSE: 11.6033	avg RMSE: 6.1106	FU(1757.40)	FM(  9.08)	items/sec: 49441.70	ratings/sec:   0.05M
0: Sampling iteration 146:	 RMSE: 9.4075	avg RMSE: 6.0804	FU(1757.05)	FM(  7.29)	items/sec: 49734.83	ratings/sec:   0.05M
0: Sampling iteration 147:	 RMSE: 18.5650	avg RMSE: 5.9915	FU(1759.66)	FM(  8.39)	items/sec: 47843.77	ratings/sec:   0.05M
0: Sampling iteration 148:	 RMSE: 14.0418	avg RMSE: 5.8688	FU(1755.09)	FM(  7.90)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 149:	 RMSE: 14.5855	avg RMSE: 5.6635	FU(1746.96)	FM(  7.10)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 150:	 RMSE: 11.1372	avg RMSE: 5.6403	FU(1726.24)	FM(  7.59)	items/sec: 47662.55	ratings/sec:   0.05M
0: Sampling iteration 151:	 RMSE: 16.3663	avg RMSE: 5.7145	FU(1719.74)	FM(  7.08)	items/sec: 49441.70	ratings/sec:   0.05M
0: Sampling iteration 152:	 RMSE: 10.6164	avg RMSE: 5.7616	FU(1726.51)	FM(  8.62)	items/sec: 49734.83	ratings/sec:   0.05M
0: Sampling iteration 153:	 RMSE: 7.1620	avg RMSE: 5.7313	FU(1734.04)	FM(  8.50)	items/sec: 41527.76	ratings/sec:   0.04M
0: Sampling iteration 154:	 RMSE: 7.8602	avg RMSE: 5.7480	FU(1738.47)	FM(  9.34)	items/sec: 48865.68	ratings/sec:   0.05M
0: Sampling iteration 155:	 RMSE: 10.2471	avg RMSE: 5.7898	FU(1735.13)	FM( 10.92)	items/sec: 42871.93	ratings/sec:   0.04M
0: Sampling iteration 156:	 RMSE: 39.7763	avg RMSE: 5.6119	FU(1726.13)	FM( 12.84)	items/sec: 36157.79	ratings/sec:   0.04M
0: Sampling iteration 157:	 RMSE: 29.3053	avg RMSE: 5.4493	FU(1727.43)	FM( 11.57)	items/sec: 31068.92	ratings/sec:   0.03M
0: Sampling iteration 158:	 RMSE: 49.5353	avg RMSE: 5.3602	FU(1739.77)	FM( 11.08)	items/sec: 33689.19	ratings/sec:   0.03M
0: Sampling iteration 159:	 RMSE: 35.3230	avg RMSE: 5.6351	FU(1733.13)	FM(  9.40)	items/sec: 32513.98	ratings/sec:   0.03M
0: Sampling iteration 160:	 RMSE: 6.9839	avg RMSE: 5.6144	FU(1735.56)	FM(  7.75)	items/sec: 31457.28	ratings/sec:   0.03M
0: Sampling iteration 161:	 RMSE: 23.0382	avg RMSE: 5.7289	FU(1728.55)	FM(  8.76)	items/sec: 29959.31	ratings/sec:   0.03M
0: Sampling iteration 162:	 RMSE: 20.4959	avg RMSE: 5.7983	FU(1724.08)	FM(  5.58)	items/sec: 32346.82	ratings/sec:   0.03M
